rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,yellow_cards,red_cards,second_yellow,fouls,fouled,offsides,crosses,interceptions,tackles_won,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerial_win_pct,shot_creating_actions_foul_drawn,passes_offsides,passes_crosses,own_goals_against,season,table_type,processed_at
11,Abdel Abqar,MAR,DF,Getafe,La Liga,0.0,1999.0,4.3,3,0,0,7,0,0,0,6,10,0,0,0,21,7,3,70.0,12,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
12,Francis Abu,GHA,MF,Toulouse,Ligue 1,0.0,2001.0,2.7,1,0,0,3,0,0,0,4,9,0,0,0,16,3,0,100.0,4,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
13,Giorgi Abuashvili,GEO,FW,Metz,Ligue 1,0.0,2003.0,1.7,0,0,0,2,0,0,0,0,2,0,0,0,7,1,1,50.0,2,0,6,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
14,Francesco Acerbi,ITA,DF,Inter,Serie A,0.0,1988.0,3.9,1,0,0,4,0,0,0,6,4,0,0,0,9,19,4,82.6,1,1,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
15,Ragnar Ache,GER,"FW,DF",Köln,Bundesliga,0.0,1998.0,2.1,0,0,0,2,0,0,0,0,1,0,0,0,6,16,10,61.5,6,1,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
16,Joshua Acheampong,ENG,DF,Chelsea,Premier League,0.0,2006.0,2.2,0,0,0,0,0,0,0,3,2,0,0,0,9,6,2,75.0,2,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
17,Akor Adams,NGA,FW,Sevilla,La Liga,0.0,2000.0,3.8,1,0,0,8,0,0,0,0,1,0,0,0,5,8,8,50.0,1,9,5,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
18,Che Adams,SCO,"FW,MF",Torino,Serie A,0.0,1996.0,1.8,0,0,0,1,0,0,0,0,3,0,0,0,4,2,6,25.0,2,0,4,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
19,Tyler Adams,USA,MF,Bournemouth,Premier League,0.0,1999.0,6.7,3,0,0,8,0,0,0,15,10,0,0,0,36,4,6,40.0,8,1,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
20,Junior Adamu,AUT,FW,Freiburg,Bundesliga,0.0,2001.0,2.6,0,0,0,4,0,0,0,4,4,0,0,0,7,17,16,51.5,4,2,1,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
21,Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,0.0,1997.0,3.9,1,0,0,3,0,0,0,5,2,0,0,0,13,17,8,68.0,0,1,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
22,Jayden Addai,NED,FW,Como,Serie A,0.0,2005.0,2.0,1,0,0,5,0,0,0,1,1,0,0,0,10,0,1,0.0,3,1,2,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
23,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,0.0,2002.0,3.6,1,0,0,5,0,0,0,4,0,1,0,0,6,3,2,60.0,10,3,2,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
