rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,goals_against,penalty_kicks_allowed,free_kick_goals_against,corner_kick_goals_against,own_goals_against,post_shot_expected_goals,post_shot_expected_goals_per_shot,post_shot_expected_goals_plus_minus,post_shot_expected_goals_plus_minus_per_90,launches,launch_pct,avg_launch_distance,goal_kicks,crosses_faced,crosses_stopped,cross_stop_pct,defensive_actions_outside_penalty_area,defensive_actions_outside_penalty_area_per_90,avg_distance_defensive_actions,opponent_penalty_area_entries_stopped,keeper_stops,keeper_stop_pct,keeper_opa,keeper_opa_per_90,keeper_avg_distance,season,table_type,processed_at
62,Anthony Lopes,POR,GK,Nantes,Ligue 1,0.0,1990,7.0,7,2,0,1,0,7.7,0.17,0.7,0.09,35,84,41.7,279,33,27.6,30.8,0,0,0,126,6,4.8,9,1.29,12.2,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
63,Pau López,ESP,GK,Betis,La Liga,0.0,1994,5.0,3,0,0,1,0,5.0,0.24,2.0,0.4,22,67,32.8,129,14,31.8,34.2,0,0,0,87,3,3.4,4,0.8,16.8,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
64,Mike Maignan,FRA,GK,Milan,Serie A,0.0,1995,4.6,3,1,0,1,0,5.2,0.32,2.2,0.48,14,46,30.4,159,22,23.9,31.9,0,0,0,76,8,10.5,0,0.0,7.1,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
65,Radosław Majecki,POL,GK,Brest,Ligue 1,0.0,1999,4.6,5,0,0,1,0,4.5,0.34,-0.5,-0.11,38,90,42.2,128,20,49.2,40.3,0,0,0,70,7,10.0,1,0.22,8.8,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
66,Giorgi Mamardashvili,GEO,GK,Liverpool,Premier League,0.0,2000,1.0,2,0,0,0,0,1.6,0.28,-0.4,-0.35,6,15,40.0,46,10,28.3,28.8,0,0,0,16,2,12.5,2,2.0,13.7,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
67,Emiliano Martínez,ARG,GK,Aston Villa,Premier League,0.0,1992,5.0,4,0,0,2,0,3.3,0.28,-0.7,-0.14,21,52,40.4,180,19,23.9,29.3,0,0,0,65,4,6.2,6,1.2,14.4,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
68,Josep Martinez,ESP,GK,Inter,Serie A,0.0,1998,2.0,1,0,0,0,0,1.4,0.28,0.4,0.21,6,21,28.6,61,7,24.6,27.4,0,0,0,21,0,0.0,4,2.0,19.0,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
69,Alex Meret,ITA,GK,Napoli,Serie A,0.0,1997,4.0,4,1,0,0,0,3.9,0.25,-0.1,-0.03,5,14,35.7,85,12,15.3,25.7,0,0,0,19,1,5.3,6,1.5,19.4,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
70,Vanja Milinković-Savić,SRB,GK,Napoli,Serie A,0.0,1997,2.0,2,0,0,1,0,0.8,0.2,-1.2,-0.61,10,34,29.4,63,7,41.3,37.8,0,0,0,31,4,12.9,0,0.0,9.0,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
71,Lorenzo Montipò,ITA,GK,Hellas Verona,Serie A,0.0,1996,6.0,9,0,0,1,0,8.8,0.33,-0.2,-0.03,34,106,32.1,136,24,50.7,40.4,0,0,0,74,3,4.1,3,0.5,13.2,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
