rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,passes_attempted,passes_live,passes_dead,passes_free_kick,passes_through_ball,passes_switched,passes_crosses,passes_throw_in,passes_corner_kick,passes_in,passes_out,passes_straight,passes_completed,passes_offsides,passes_blocks,season,table_type,processed_at
1302,Noussair Mazraoui,MAR,DF,Manchester Utd,Premier League,0.0,1997.0,1.5,97,81,16,0,0,0,5,16,0,0,0,0,74,0,4,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1303,Luca Mazzitelli,ITA,MF,Cagliari,Serie A,0.0,1995.0,0.4,14,13,1,1,0,0,1,0,0,0,0,0,12,0,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1304,Samuel Mbangula,BEL,FW,Werder Bremen,Bundesliga,0.0,2004.0,4.1,145,139,5,2,1,2,2,3,0,0,0,0,116,1,7,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1305,Ethan Mbappé,FRA,FW,Lille,Ligue 1,0.0,2006.0,0.4,28,23,5,2,0,1,2,0,3,1,0,0,23,0,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1306,Kylian Mbappé,FRA,FW,Real Madrid,La Liga,0.0,1998.0,7.7,341,322,19,0,1,3,6,1,2,1,0,0,306,0,7,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1307,Ibrahim Mbaye,FRA,FW,Paris S-G,Ligue 1,0.0,2008.0,3.3,192,190,2,0,0,0,6,0,0,0,0,0,162,0,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1308,Chancel Mbemba,COD,DF,Lille,Ligue 1,0.0,1994.0,1.5,104,102,2,1,0,0,0,0,0,0,0,0,100,0,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1309,Bryan Mbeumo,CMR,MF,Manchester Utd,Premier League,0.0,1999.0,6.6,239,198,39,6,4,3,36,3,14,11,0,1,172,2,10,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1310,Michel Mboula,GAB,DF,Metz,Ligue 1,0.0,2003.0,1.9,96,89,6,4,0,2,1,2,0,0,0,0,79,1,3,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1311,Pathé Mboup,SEN,"FW,MF",Brest,Ligue 1,0.0,2003.0,2.3,39,39,0,0,1,1,0,0,0,0,0,0,23,0,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1312,Moustapha Mbow,SEN,DF,Paris FC,Ligue 1,0.0,2000.0,7.0,429,418,10,8,1,9,0,1,0,0,0,0,399,1,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1313,James Mcatee,ENG,"MF,FW",Nott'ham Forest,Premier League,0.0,2002.0,1.4,62,59,3,0,0,0,4,0,1,1,0,0,55,0,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1314,John McGinn,SCO,"MF,FW",Aston Villa,Premier League,0.0,1994.0,6.1,246,234,11,5,2,1,21,0,6,4,0,0,195,1,3,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1315,Weston McKennie,USA,"MF,DF",Juventus,Serie A,0.0,1998.0,2.3,79,69,10,1,0,1,3,9,0,0,0,0,61,0,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1316,Mark McKenzie,USA,DF,Toulouse,Ligue 1,0.0,1999.0,7.0,299,266,32,8,1,1,1,23,0,0,0,0,256,1,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1317,Dwight McNeil,ENG,FW,Everton,Premier League,0.0,1999.0,0.2,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1318,Scott McTominay,SCO,MF,Napoli,Serie A,0.0,1996.0,5.8,182,178,4,3,2,2,3,1,0,0,0,0,153,0,6,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1319,Facundo Medina,ARG,DF,Marseille,Ligue 1,0.0,1999.0,1.6,137,132,5,1,0,2,0,4,0,0,0,0,131,0,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1320,Jonas Meffert,GER,MF,Hamburger SV,Bundesliga,0.0,1994.0,0.9,46,45,1,0,0,1,0,1,0,0,0,0,35,0,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1321,Henrik Meister,DEN,FW,Pisa,Serie A,0.0,2003.0,3.7,35,35,0,0,0,0,0,0,0,0,0,0,14,0,4,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1322,Bamo Meïté,CIV,DF,Lorient,Ligue 1,0.0,2001.0,4.0,216,188,28,4,0,0,2,24,0,0,0,0,184,0,5,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1323,Mohamed Meité,FRA,FW,Rennes,Ligue 1,0.0,2007.0,1.6,28,27,0,0,0,0,0,0,0,0,0,0,19,1,3,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1324,Hannibal Mejbri,TUN,MF,Burnley,Premier League,0.0,2003.0,2.8,58,49,9,1,1,0,4,0,0,0,0,0,46,0,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1325,Nuno Mendes,POR,DF,Paris S-G,Ligue 1,0.0,2002.0,3.4,261,222,38,3,1,4,13,25,10,2,6,0,232,1,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1326,Brais Méndez,ESP,MF,Real Sociedad,La Liga,0.0,1997.0,4.3,219,194,23,10,0,3,22,0,8,6,1,0,162,2,8,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1327,Rodrigo Mendoza,ESP,"MF,FW",Elche,La Liga,0.0,2005.0,4.0,179,164,15,7,1,2,12,2,3,0,0,0,148,0,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1328,Antoine Mendy,SEN,DF,Nice,Ligue 1,0.0,2004.0,4.7,305,274,31,21,1,4,7,8,0,0,0,0,252,0,5,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1329,Batista Mendy,FRA,MF,Sevilla,La Liga,0.0,2000.0,4.0,108,103,3,3,0,2,0,0,0,0,0,0,86,2,3,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1330,Formose Mendy,SEN,DF,Lorient,Ligue 1,0.0,2001.0,1.5,92,84,7,3,0,4,1,4,0,0,0,0,78,1,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1331,Gideon Mensah,GHA,DF,Auxerre,Ligue 1,0.0,1998.0,6.7,338,272,65,15,1,4,11,50,0,0,0,0,270,1,4,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1332,Khalis Merah,FRA,"FW,MF",Lyon,Ligue 1,0.0,2007.0,3.6,137,135,2,0,0,2,3,0,1,0,0,0,120,0,4,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1333,Alex Meret,ITA,GK,Napoli,Serie A,0.0,1997.0,4.0,110,77,32,8,0,0,0,0,0,0,0,0,98,1,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1334,Mikel Merino,ESP,MF,Arsenal,Premier League,0.0,1996.0,2.7,101,100,1,0,5,0,2,1,0,0,0,0,79,0,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1335,Quentin Merlin,FRA,DF,Rennes,Ligue 1,0.0,2002.0,6.9,402,309,90,12,1,1,48,57,21,9,8,0,289,3,18,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1336,Rafik Messali,FRA,MF,Toulouse,Ligue 1,0.0,2003.0,0.2,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1337,Junior Messias,BRA,"FW,MF",Genoa,Serie A,0.0,1991.0,0.7,21,18,3,0,0,2,1,3,0,0,0,0,17,0,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1338,Connor Metcalfe,AUS,MF,St. Pauli,Bundesliga,0.0,1999.0,0.8,48,48,0,0,0,0,3,0,0,0,0,0,39,0,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1339,Dayann Methalie,FRA,"MF,DF",Toulouse,Ligue 1,0.0,2006.0,4.9,125,103,21,2,0,0,7,19,0,0,0,0,92,1,4,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1340,Thomas Meunier,BEL,DF,Lille,Ligue 1,0.0,1991.0,2.8,130,117,13,0,1,1,7,13,0,0,0,0,104,0,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1341,Georges Mikautadze,GEO,FW,Villarreal,La Liga,0.0,2000.0,3.4,63,59,3,0,3,0,1,1,0,0,0,0,38,1,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
1342,Georges Mikautadze,GEO,FW,Lyon,Ligue 1,0.0,2000.0,2.0,32,32,0,0,0,0,0,0,0,0,0,0,27,0,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
