rank,player_name,nation,position,squad,competition,age,birth_year,matches_played,starts,minutes,nineties_played,goals,assists,goals_assists,goals_minus_pk,penalty_goals,penalty_attempts,yellow_cards,red_cards,expected_goals,non_penalty_xg,expected_assists,npxg_plus_xag,progressive_carries,progressive_passes,progressive_receives,goals_assists_minus_pk,xg_plus_xag,MP,Starts,Min,season,table_type,processed_at
1234,Jean-Victor Makengo,FRA,MF,Lorient,Ligue 1,0.0,1998.0,0,0,0,2.2,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.3,5,9,12,0.46,0.16,4,2,194.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1235,Jordy Makengo,FRA,DF,Freiburg,Bundesliga,0.0,2001.0,0,0,0,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,13,10,0.0,0.04,4,3,280.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1236,Andrija Maksimović,SRB,FW,RB Leipzig,Bundesliga,0.0,2007.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,2,0,2.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1237,Said El Mala,GER,"FW,DF",Köln,Bundesliga,0.0,2006.0,0,0,0,2.4,2,1,3,2,0,0,0,0,1.1,1.1,0.3,1.5,7,4,22,1.24,0.61,6,1,217.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1238,Julián Malatini,ARG,DF,Werder Bremen,Bundesliga,0.0,2001.0,0,0,0,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,3,0.0,0.0,1,1,90.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1239,Daniel Maldini,ITA,MF,Atalanta,Serie A,0.0,2001.0,0,0,0,1.9,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,8,7,10,0.0,0.33,5,2,171.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1240,Donyell Malen,NED,FW,Aston Villa,Premier League,0.0,1999.0,0,0,0,2.6,2,0,2,2,0,0,0,0,0.7,0.7,0.2,0.9,5,7,16,0.77,0.36,7,2,234.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1241,Ruslan Malinovskyi,UKR,MF,Genoa,Serie A,0.0,1993.0,0,0,0,3.2,0,1,1,0,0,0,3,0,0.1,0.1,0.3,0.4,6,17,6,0.31,0.13,5,4,292.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1242,Lennard Maloney,USA,MF,Mainz 05,Bundesliga,0.0,1999.0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,1,0.0,0.14,3,0,46.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1243,Giorgi Mamardashvili,GEO,GK,Liverpool,Premier League,0.0,2000.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,1,90.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1244,Felix Mambimbi,SUI,"MF,FW",Le Havre,Ligue 1,0.0,2001.0,0,0,0,1.4,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.4,1,1,4,0.0,0.25,7,1,130.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1245,Gianluca Mancini,ITA,DF,Roma,Serie A,0.0,1996.0,0,0,0,6.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,4,11,3,0.0,0.03,6,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1246,Reinildo Mandava,MOZ,DF,Sunderland,Premier League,0.0,1994.0,0,0,0,4.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,11,21,8,0.0,0.0,5,5,392.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1247,Aïssa Mandi,ALG,DF,Lille,Ligue 1,0.0,1991.0,0,0,0,4.1,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,5,24,3,0.0,0.07,5,4,366.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1248,Rolando Mandragora,ITA,MF,Fiorentina,Serie A,0.0,1997.0,0,0,0,4.7,2,0,2,2,0,0,0,0,0.9,0.9,0.2,1.1,2,14,11,0.42,0.23,6,5,425.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1249,Filippo Mane,ITA,DF,Dortmund,Bundesliga,0.0,2005.0,0,0,0,0.9,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,2,1,85.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1250,Johan Manzambi,SUI,MF,Freiburg,Bundesliga,0.0,2005.0,0,0,0,3.4,0,0,0,0,0,0,1,1,0.6,0.6,0.8,1.4,14,20,20,0.0,0.41,4,3,304.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1251,Sekou Mara,FRA,FW,Auxerre,Ligue 1,0.0,2002.0,0,0,0,2.9,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.8,2,5,9,0.0,0.28,4,3,263.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1252,Alessandro Marcandalli,ITA,DF,Genoa,Serie A,0.0,2002.0,0,0,0,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,3,2,180.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1253,Marcão,BRA,DF,Sevilla,La Liga,0.0,1996.0,0,0,0,4.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,10,0,0.0,0.04,6,4,376.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1254,Vincent Marchetti,FRA,MF,Paris FC,Ligue 1,0.0,1997.0,0,0,0,2.7,1,0,1,1,0,0,1,0,1.1,1.1,0.1,1.1,4,12,3,0.37,0.4,4,3,246.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1255,Pablo Marí,ESP,DF,Fiorentina,Serie A,0.0,1993.0,0,0,0,2.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,3,2,193.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1256,Mariano,DOM,FW,Alavés,La Liga,0.0,1993.0,0,0,0,2.5,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,2,5,10,0.0,0.14,7,2,226.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1257,Luca Marianucci,ITA,DF,Napoli,Serie A,0.0,2004.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,14,1,0.0,0.07,1,1,90.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1258,Rafa Marín,ESP,DF,Villarreal,La Liga,0.0,2002.0,0,0,0,7.0,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.4,2,25,0,0.14,0.05,7,7,630.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1259,Marius Marin,ROU,MF,Pisa,Serie A,0.0,1998.0,0,0,0,4.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,11,5,0.0,0.0,5,5,395.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1260,Pablo Marín,ESP,MF,Real Sociedad,La Liga,0.0,2003.0,0,0,0,5.1,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.5,9,7,13,0.0,0.11,8,6,458.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1261,João Mário Lopes,POR,DF,Juventus,Serie A,0.0,2000.0,0,0,0,2.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,9,12,25,0.0,0.08,5,2,216.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1262,Guillermo Maripán,CHI,DF,Torino,Serie A,0.0,1994.0,0,0,0,4.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,0,8,1,0.0,0.11,5,5,405.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1263,Omar Marmoush,EGY,"FW,MF",Manchester City,Premier League,0.0,1999.0,0,0,0,1.7,0,1,1,0,0,0,0,0,0.8,0.8,1.0,1.8,7,5,14,0.6,1.08,3,2,149.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1264,Marquinhos,BRA,DF,Paris S-G,Ligue 1,0.0,1994.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,15,2,0.0,0.01,2,2,180.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1265,Callum Marshall,NIR,FW,West Ham,Premier League,0.0,2004.0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.0,0.38,1,0,30.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1266,Eric Martel,GER,"MF,DF",Köln,Bundesliga,0.0,2002.0,0,0,0,5.6,0,2,2,0,0,0,2,0,0.0,0.0,0.8,0.8,1,14,3,0.35,0.15,6,6,508.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1267,Aarón Martín,ESP,DF,Genoa,Serie A,0.0,1997.0,0,0,0,4.9,0,0,0,0,0,0,1,0,0.1,0.1,1.7,1.8,7,19,19,0.0,0.36,5,5,443.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1268,Gerard Martín,ESP,DF,Barcelona,La Liga,0.0,2002.0,0,0,0,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,5,27,30,0.0,0.11,6,5,362.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1269,Iván Martín,ESP,MF,Girona,La Liga,0.0,1999.0,0,0,0,6.0,0,1,1,0,0,0,3,1,0.1,0.1,0.2,0.2,9,22,11,0.17,0.04,7,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1270,Jon Martin,ESP,DF,Real Sociedad,La Liga,0.0,2006.0,0,0,0,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,7,0,0.0,0.11,1,1,90.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1271,Mario Martín,ESP,MF,Getafe,La Liga,0.0,2004.0,0,0,0,5.7,1,0,1,1,0,0,3,0,0.5,0.5,0.1,0.6,9,13,12,0.18,0.1,8,8,511.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1272,Gabriel Martinelli,BRA,FW,Arsenal,Premier League,0.0,2001.0,0,0,0,2.1,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,5,4,8,0.49,0.19,6,2,185.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1273,Arnau Martinez,ESP,DF,Girona,La Liga,0.0,2003.0,0,0,0,3.9,1,0,1,1,0,0,2,0,0.3,0.3,0.0,0.3,10,8,12,0.26,0.08,7,5,349.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1274,Emiliano Martínez,ARG,GK,Aston Villa,Premier League,0.0,1992.0,0,0,0,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,5,5,450.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1275,Josep Martinez,ESP,GK,Inter,Serie A,0.0,1998.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,2,2,180.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1276,Lautaro Martínez,ARG,FW,Inter,Serie A,0.0,1997.0,0,0,0,4.7,3,1,4,3,0,0,1,0,2.0,2.0,1.2,3.2,6,13,29,0.86,0.68,6,5,420.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1277,Pablo Martínez,ESP,MF,Levante,La Liga,0.0,1998.0,0,0,0,4.7,0,1,1,0,0,0,1,0,0.4,0.4,0.7,1.1,3,14,7,0.21,0.24,7,4,422.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1278,Ramón Martínez,ESP,DF,Sevilla,La Liga,0.0,2002.0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0,14.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1279,Toni Martínez,ESP,FW,Alavés,La Liga,0.0,1997.0,0,0,0,5.5,2,1,3,2,0,0,0,0,1.0,1.0,0.2,1.3,3,5,21,0.55,0.23,8,5,491.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1280,Adam Marušić,MNE,DF,Lazio,Serie A,0.0,1992.0,0,0,0,3.6,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,4,13,16,0.28,0.11,5,4,326.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1281,Omar Mascarell,EQG,MF,Mallorca,La Liga,0.0,1993.0,0,0,0,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,1,0.0,0.01,3,2,155.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1282,Adam Masina,MAR,DF,Torino,Serie A,0.0,1994.0,0,0,0,1.2,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0,5,0,0.81,0.16,2,1,111.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1283,Patrizio Masini,ITA,MF,Genoa,Serie A,0.0,2001.0,0,0,0,5.8,0,0,0,0,0,0,2,0,0.9,0.9,0.0,0.9,2,18,7,0.0,0.16,6,6,518.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1284,Han-Noah Massengo,FRA,MF,Augsburg,Bundesliga,0.0,2001.0,0,0,0,5.8,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.8,11,27,5,0.17,0.13,6,6,525.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1285,Franco Mastantuono,ARG,"FW,DF",Real Madrid,La Liga,0.0,2007.0,0,0,0,4.5,1,0,1,1,0,0,3,0,1.9,1.9,0.6,2.6,6,16,52,0.22,0.57,7,5,402.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1286,Arthur Masuaku,COD,"DF,MF",Sunderland,Premier League,0.0,1993.0,0,0,0,1.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,2,5,5,0.0,0.1,3,2,126.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1287,Clinton Mata,ANG,DF,Lyon,Ligue 1,0.0,1992.0,0,0,0,6.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,1,15,1,0.0,0.02,7,7,625.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1288,Igor Matanovic,CRO,FW,Freiburg,Bundesliga,0.0,2003.0,0,0,0,0.6,2,0,2,1,1,1,0,0,0.8,0.1,0.4,0.4,0,1,3,1.55,1.86,4,0,58.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1289,Pape Matar Sarr,SEN,MF,Tottenham,Premier League,0.0,2002.0,0,0,0,4.2,1,2,3,1,0,0,0,0,0.3,0.3,0.5,0.8,4,12,15,0.72,0.2,6,4,375.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1290,Jean-Philippe Mateta,FRA,FW,Crystal Palace,Premier League,0.0,1997.0,0,0,0,6.7,2,0,2,1,1,1,2,0,4.1,3.3,0.1,3.4,3,6,25,0.15,0.63,7,7,600.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1291,Nemanja Matić,SRB,MF,Sassuolo,Serie A,0.0,1988.0,0,0,0,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,19,8,0.0,0.01,5,5,441.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1292,Rudy Matondo,FRA,MF,Auxerre,Ligue 1,0.0,2008.0,0,0,0,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,3,0.0,0.0,5,0,57.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1293,Chrislain Matsima,FRA,DF,Augsburg,Bundesliga,0.0,2002.0,0,0,0,6.0,1,1,2,1,0,0,3,0,0.2,0.2,0.5,0.7,2,16,2,0.33,0.12,6,6,540.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1294,Jean Mattéo Bahoya,FRA,FW,Eint Frankfurt,Bundesliga,0.0,2005.0,0,0,0,3.9,2,1,3,2,0,0,0,0,1.3,1.3,1.4,2.7,18,5,33,0.78,0.69,5,5,347.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1295,Konstantinos Mavropanos,GRE,DF,West Ham,Premier League,0.0,1997.0,0,0,0,5.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,17,0,0.0,0.08,5,5,450.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1296,Christian Mawissa,FRA,DF,Monaco,Ligue 1,0.0,2005.0,0,0,0,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,15,2,0.0,0.0,4,4,360.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1297,Keke Maximilian Topp,GER,FW,Werder Bremen,Bundesliga,0.0,2004.0,0,0,0,0.6,0,1,1,0,0,0,0,0,0.1,0.1,0.8,0.9,2,2,8,1.76,1.56,3,0,51.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1298,Eliezer Mayenda,ESP,FW,Sunderland,Premier League,0.0,2005.0,0,0,0,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.5,0.9,3,3,8,0.37,0.35,5,3,245.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1299,Borja Mayoral,ESP,FW,Getafe,La Liga,0.0,1997.0,0,0,0,4.2,2,1,3,2,0,0,0,0,0.8,0.8,0.2,1.0,0,8,11,0.72,0.25,6,5,376.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1300,Senny Mayulu,FRA,MF,Paris S-G,Ligue 1,0.0,2006.0,0,0,0,1.9,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,7,4,7,0.53,0.3,4,2,171.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1301,Ibrahim Maza,ALG,"MF,DF",Leverkusen,Bundesliga,0.0,2005.0,0,0,0,2.4,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,7,9,10,0.0,0.22,4,2,215.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1302,Noussair Mazraoui,MAR,DF,Manchester Utd,Premier League,0.0,1997.0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,19,13,0.0,0.0,3,2,131.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1303,Luca Mazzitelli,ITA,MF,Cagliari,Serie A,0.0,1995.0,0,0,0,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,4,0,0.0,0.18,2,0,34.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1304,Samuel Mbangula,BEL,FW,Werder Bremen,Bundesliga,0.0,2004.0,0,0,0,4.1,2,1,3,2,0,0,0,0,0.3,0.3,0.4,0.7,9,13,12,0.74,0.17,5,5,366.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1305,Ethan Mbappé,FRA,FW,Lille,Ligue 1,0.0,2006.0,0,0,0,0.4,2,0,2,2,0,0,0,0,0.2,0.2,0.2,0.4,2,2,5,5.0,0.98,4,0,36.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1306,Kylian Mbappé,FRA,FW,Real Madrid,La Liga,0.0,1998.0,0,0,0,7.7,9,2,11,7,2,2,2,0,6.6,5.0,1.9,6.9,37,36,78,1.16,1.1,8,8,696.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1307,Ibrahim Mbaye,FRA,FW,Paris S-G,Ligue 1,0.0,2008.0,0,0,0,3.3,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,18,7,53,0.0,0.27,7,3,301.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1308,Chancel Mbemba,COD,DF,Lille,Ligue 1,0.0,1994.0,0,0,0,1.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,2,7,1,0.0,0.04,2,1,136.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1309,Bryan Mbeumo,CMR,MF,Manchester Utd,Premier League,0.0,1999.0,0,0,0,6.6,1,1,2,1,0,0,0,0,1.9,1.9,1.6,3.5,21,15,64,0.3,0.54,7,7,595.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1310,Michel Mboula,GAB,DF,Metz,Ligue 1,0.0,2003.0,0,0,0,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,3,0.0,0.0,3,3,175.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1311,Pathé Mboup,SEN,"FW,MF",Brest,Ligue 1,0.0,2003.0,0,0,0,2.3,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.9,5,6,11,0.0,0.37,4,2,210.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1312,Moustapha Mbow,SEN,DF,Paris FC,Ligue 1,0.0,2000.0,0,0,0,7.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,27,1,0.0,0.03,7,7,630.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1313,James Mcatee,ENG,"MF,FW",Nott'ham Forest,Premier League,0.0,2002.0,0,0,0,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,4,9,8,0.0,0.26,4,1,129.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1314,John McGinn,SCO,"MF,FW",Aston Villa,Premier League,0.0,1994.0,0,0,0,6.1,1,0,1,1,0,0,1,0,0.6,0.6,0.8,1.4,9,25,16,0.16,0.24,7,7,546.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1315,Weston McKennie,USA,"MF,DF",Juventus,Serie A,0.0,1998.0,0,0,0,2.3,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,4,7,11,0.0,0.31,5,2,204.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1316,Mark McKenzie,USA,DF,Toulouse,Ligue 1,0.0,1999.0,0,0,0,7.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,2,14,4,0.0,0.03,7,7,630.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1317,Dwight McNeil,ENG,FW,Everton,Premier League,0.0,1999.0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,0,0,2,0.0,1.74,1,0,20.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1318,Scott McTominay,SCO,MF,Napoli,Serie A,0.0,1996.0,0,0,0,5.8,1,1,2,1,0,0,0,0,1.2,1.2,0.4,1.6,8,16,35,0.35,0.28,6,6,520.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1319,Facundo Medina,ARG,DF,Marseille,Ligue 1,0.0,1999.0,0,0,0,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,13,3,0.0,0.0,2,2,144.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1320,Jonas Meffert,GER,MF,Hamburger SV,Bundesliga,0.0,1994.0,0,0,0,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.0,0.0,3,0,79.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1321,Henrik Meister,DEN,FW,Pisa,Serie A,0.0,2003.0,0,0,0,3.7,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,3,5,16,0.0,0.12,6,3,331.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1322,Bamo Meïté,CIV,DF,Lorient,Ligue 1,0.0,2001.0,0,0,0,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,6,15,4,0.0,0.02,4,4,360.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1323,Mohamed Meité,FRA,FW,Rennes,Ligue 1,0.0,2007.0,0,0,0,1.6,1,1,2,1,0,0,0,0,1.1,1.1,0.4,1.5,4,2,13,1.25,0.95,6,2,144.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1324,Hannibal Mejbri,TUN,MF,Burnley,Premier League,0.0,2003.0,0,0,0,2.8,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.5,6,5,8,0.0,0.19,6,3,249.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1325,Nuno Mendes,POR,DF,Paris S-G,Ligue 1,0.0,2002.0,0,0,0,3.4,1,1,2,1,0,0,0,0,0.1,0.1,0.9,1.1,16,19,13,0.58,0.32,6,3,308.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1326,Brais Méndez,ESP,MF,Real Sociedad,La Liga,0.0,1997.0,0,0,0,4.3,1,1,2,1,0,0,2,0,0.6,0.6,0.3,0.9,10,30,24,0.46,0.2,7,4,388.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1327,Rodrigo Mendoza,ESP,"MF,FW",Elche,La Liga,0.0,2005.0,0,0,0,4.0,1,0,1,1,0,0,2,0,0.3,0.3,0.3,0.5,9,14,27,0.25,0.13,5,4,359.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1328,Antoine Mendy,SEN,DF,Nice,Ligue 1,0.0,2004.0,0,0,0,4.7,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,22,4,0.0,0.05,5,5,426.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1329,Batista Mendy,FRA,MF,Sevilla,La Liga,0.0,2000.0,0,0,0,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,4,5,5,0.0,0.04,5,4,362.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1330,Formose Mendy,SEN,DF,Lorient,Ligue 1,0.0,2001.0,0,0,0,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,5,0,0.0,0.0,2,2,135.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1331,Gideon Mensah,GHA,DF,Auxerre,Ligue 1,0.0,1998.0,0,0,0,6.7,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,3,19,9,0.0,0.02,7,7,604.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1332,Khalis Merah,FRA,"FW,MF",Lyon,Ligue 1,0.0,2007.0,0,0,0,3.6,0,0,0,0,0,0,1,0,0.6,0.6,0.6,1.2,10,17,12,0.0,0.33,6,4,322.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1333,Alex Meret,ITA,GK,Napoli,Serie A,0.0,1997.0,0,0,0,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,4,4,360.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1334,Mikel Merino,ESP,MF,Arsenal,Premier League,0.0,1996.0,0,0,0,2.7,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,6,10,8,0.37,0.16,6,3,245.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1335,Quentin Merlin,FRA,DF,Rennes,Ligue 1,0.0,2002.0,0,0,0,6.9,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,16,28,63,0.29,0.3,7,7,619.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1336,Rafik Messali,FRA,MF,Toulouse,Ligue 1,0.0,2003.0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0,16.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
1337,Junior Messias,BRA,"FW,MF",Genoa,Serie A,0.0,1991.0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,4,0.0,0.0,2,0,65.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
