rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,shot_creating_actions,shot_creating_actions_per_90,shot_creating_actions_live_pass,shot_creating_actions_dead_pass,shot_creating_actions_take_on,shot_creating_actions_shot,shot_creating_actions_foul_drawn,goal_creating_actions,goal_creating_actions_per_90,goal_creating_actions_def,season,table_type,processed_at
1384,Ibrahima Konaté,FRA,DF,Liverpool,Premier League,25.0,1999.0,28.4,31,1.09,26,0,0,4,0,7,0.25,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1385,Ismael Konate,ITA,"FW,MF",Empoli,Serie A,18.0,2006.0,1.3,3,2.31,2,0,1,0,0,1,0.77,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1386,Geoffrey Kondogbia,CTA,"DF,MF",Marseille,Ligue 1,31.0,1993.0,22.4,24,1.07,20,0,1,2,0,0,0.0,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1387,Abdoul Koné,FRA,DF,Reims,Ligue 1,19.0,2005.0,1.5,1,0.68,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1388,Amadou Koné,MLI,MF,Reims,Ligue 1,19.0,2005.0,14.4,28,1.95,19,1,2,2,1,2,0.14,3,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1389,Ismaël Koné,CAN,"MF,FW",Marseille,Ligue 1,22.0,2002.0,4.0,6,1.5,3,1,0,1,1,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1390,Ismaël Koné,CAN,MF,Rennes,Ligue 1,22.0,2002.0,5.2,10,1.92,10,0,0,0,0,1,0.19,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1391,Manu Koné,FRA,MF,Roma,Serie A,23.0,2001.0,28.6,67,2.34,46,1,5,6,6,6,0.21,3,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1392,Ezri Konsa,ENG,DF,Aston Villa,Premier League,26.0,1997.0,32.6,24,0.74,19,2,1,2,0,3,0.09,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1393,Teun Koopmeiners,NED,"MF,FW",Juventus,Serie A,26.0,1998.0,22.2,63,2.84,39,17,2,2,2,3,0.14,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1394,Kacper Koscierski,GER,DF,Bochum,Bundesliga,17.0,2007.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1395,Odilon Kossounou,CIV,DF,Atalanta,Serie A,23.0,2001.0,12.5,7,0.56,6,0,1,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1396,Christian Kouamé,CIV,"FW,MF",Fiorentina,Serie A,26.0,1997.0,6.9,22,3.19,18,0,2,1,1,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1397,Christian Kouamé,CIV,"FW,MF",Empoli,Serie A,26.0,1997.0,5.6,23,4.08,15,0,3,2,2,0,0.0,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1398,Henri Koudossou,GER,DF,Augsburg,Bundesliga,24.0,1999.0,8.3,18,2.17,15,0,1,1,0,2,0.24,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1399,Konstantinos Koulierakis,GRE,DF,Wolfsburg,Bundesliga,20.0,2003.0,27.4,31,1.13,24,2,0,4,0,4,0.15,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1400,Emmanuel Koum Mbondo,FRA,DF,Marseille,Ligue 1,18.0,2006.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1401,Jules Koundé,FRA,DF,Barcelona,La Liga,25.0,1998.0,28.9,59,2.04,55,0,2,2,0,7,0.24,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1402,Boubakar Kouyaté,MLI,DF,Montpellier,Ligue 1,27.0,1997.0,8.4,3,0.41,2,0,0,1,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1403,Mateo Kovačić,CRO,MF,Manchester City,Premier League,30.0,1994.0,24.4,73,2.99,59,0,4,5,4,8,0.33,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1404,Viktor Kovalenko,UKR,MF,Empoli,Serie A,28.0,1996.0,0.9,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1405,Matej Kovar,CZE,GK,Leverkusen,Bundesliga,24.0,2000.0,5.0,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1406,Mateusz Kowalski,POL,MF,Parma,Serie A,19.0,2005.0,0.6,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1407,Goduine Koyalipou,CTA,FW,Lens,Ligue 1,24.0,2000.0,9.8,26,2.64,12,0,4,9,1,1,0.1,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1408,Caleb Kporha,ENG,DF,Crystal Palace,Premier League,18.0,2006.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1409,Emil Krafth,SWE,DF,Newcastle Utd,Premier League,29.0,1994.0,3.8,3,0.79,2,0,0,1,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1410,Alex Král,CZE,MF,Espanyol,La Liga,26.0,1998.0,30.2,42,1.39,31,1,2,2,4,1,0.03,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1411,Andrej Kramarić,CRO,"MF,FW",Hoffenheim,Bundesliga,33.0,1991.0,30.7,102,3.32,78,13,2,7,2,14,0.46,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1412,Vladyslav Krapyvtsov,UKR,GK,Girona,La Liga,19.0,2005.0,2.0,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1413,Frans Krätzig,GER,"DF,MF",Heidenheim,Bundesliga,21.0,2003.0,13.5,45,3.33,31,10,2,0,0,2,0.15,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1414,Frans Krätzig,GER,DF,Stuttgart,Bundesliga,21.0,2003.0,0.6,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1415,Tom Krauß,GER,MF,Bochum,Bundesliga,23.0,2001.0,12.0,40,3.34,33,0,1,0,5,1,0.08,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1416,Ladislav Krejčí,CZE,DF,Girona,La Liga,25.0,1999.0,27.1,29,1.07,25,1,0,2,1,4,0.15,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1417,Rasmus Kristensen,DEN,DF,Eint Frankfurt,Bundesliga,27.0,1997.0,27.9,60,2.15,46,4,2,5,2,10,0.36,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1418,Thomas Kristensen,DEN,DF,Udinese,Serie A,22.0,2002.0,19.5,17,0.87,16,1,0,0,0,1,0.05,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1419,Nikola Krstović,MNE,FW,Lecce,Serie A,24.0,2000.0,34.0,87,2.56,57,2,8,12,5,7,0.21,3,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1420,Lukas Kübler,GER,DF,Freiburg,Bundesliga,31.0,1992.0,20.5,26,1.27,21,1,0,4,0,4,0.2,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1421,Takefusa Kubo,JPN,"MF,FW",Real Sociedad,La Liga,23.0,2001.0,26.4,114,4.33,72,11,16,2,9,8,0.3,4,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1422,Mohammed Kudus,GHA,"FW,MF",West Ham,Premier League,23.0,2000.0,28.8,107,3.72,74,1,16,12,2,10,0.35,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1423,Dejan Kulusevski,SWE,"MF,FW",Tottenham,Premier League,24.0,2000.0,26.5,128,4.82,95,12,15,3,3,9,0.34,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1424,Sael Kumbedi,FRA,DF,Lyon,Ligue 1,19.0,2005.0,10.6,15,1.42,13,0,0,1,1,4,0.38,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1425,Marash Kumbulla,ALB,DF,Espanyol,La Liga,24.0,2000.0,33.0,16,0.48,11,0,1,3,1,2,0.06,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1426,Jonah Kusi-Asare,SWE,FW,Bayern Munich,Bundesliga,17.0,2007.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1427,Daler Kuzyaev,RUS,MF,Le Havre,Ligue 1,31.0,1993.0,6.3,4,0.63,2,1,1,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1428,Khvicha Kvaratskhelia,GEO,"FW,MF",Napoli,Serie A,23.0,2001.0,13.1,57,4.35,40,10,2,2,3,6,0.46,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1429,Khvicha Kvaratskhelia,GEO,FW,Paris S-G,Ligue 1,23.0,2001.0,10.2,60,5.89,39,3,9,3,3,8,0.79,3,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1430,Moritz-Broni Kwarteng,GHA,"MF,FW",Bochum,Bundesliga,26.0,1998.0,1.9,9,4.68,7,0,1,1,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1431,Giorgos Kyriakopoulos,GRE,DF,Monza,Serie A,28.0,1996.0,31.6,70,2.21,41,18,3,3,5,6,0.19,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1432,Luca de la Torre,USA,MF,Celta Vigo,La Liga,26.0,1998.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1433,Rémy Labeau Lascary,GLP,"FW,MF",Lens,Ligue 1,21.0,2003.0,7.1,20,2.83,10,0,7,2,1,5,0.71,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1434,Gaëtan Laborde,FRA,FW,Nice,Ligue 1,30.0,1994.0,20.3,63,3.1,48,0,4,9,2,7,0.34,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1435,Nediljko Labrović,CRO,GK,Augsburg,Bundesliga,24.0,1999.0,15.0,1,0.07,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1436,Alexandre Lacazette,FRA,FW,Lyon,Ligue 1,33.0,1991.0,22.8,56,2.46,41,0,4,7,3,5,0.22,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1437,Younes Lachaab,FRA,"MF,FW",Lille,Ligue 1,19.0,2005.0,0.1,2,20.0,0,0,1,1,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1438,Maxence Lacroix,FRA,DF,Crystal Palace,Premier League,24.0,2000.0,34.6,28,0.81,23,1,0,4,0,4,0.12,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1439,Alban Lafont,CIV,GK,Nantes,Ligue 1,25.0,1999.0,12.0,2,0.17,1,1,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1440,Yoel Lago,ESP,DF,Celta Vigo,La Liga,20.0,2004.0,6.5,2,0.31,2,0,0,0,0,1,0.15,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1441,Konrad Laimer,AUT,DF,Bayern Munich,Bundesliga,27.0,1997.0,18.9,62,3.28,56,2,1,1,1,8,0.42,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1442,Stefan Lainer,AUT,DF,Gladbach,Bundesliga,31.0,1992.0,8.4,15,1.78,15,0,0,0,0,1,0.12,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1443,Kenny Lala,MAD,DF,Brest,Ligue 1,32.0,1991.0,29.8,80,2.68,56,19,1,3,0,6,0.2,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1444,Adam Lallana,ENG,MF,Southampton,Premier League,36.0,1988.0,4.0,9,2.24,8,0,0,0,1,2,0.5,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1445,Mathis Lambourde,FRA,"FW,MF",Hellas Verona,Serie A,18.0,2006.0,1.0,2,2.0,1,0,1,0,0,1,1.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1446,Mohamed Lamine Bayo,GUI,FW,Lille,Ligue 1,26.0,1998.0,3.4,12,3.51,7,0,1,3,0,2,0.58,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1447,Tariq Lamptey,GHA,DF,Brighton,Premier League,23.0,2000.0,9.6,17,1.78,14,1,0,0,1,3,0.31,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1448,Will Lankshear,ENG,"FW,MF",Tottenham,Premier League,19.0,2005.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1449,Gianluca Lapadula,PER,"FW,MF",Cagliari,Serie A,34.0,1990.0,3.4,13,3.77,5,0,1,7,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1450,Cyle Larin,CAN,FW,Mallorca,La Liga,29.0,1995.0,19.6,21,1.07,13,0,0,4,4,3,0.15,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1451,Gautier Larsonneur,FRA,GK,Saint-Étienne,Ligue 1,27.0,1997.0,34.0,3,0.09,2,1,0,0,0,1,0.03,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1452,Hugo Larsson,SWE,MF,Eint Frankfurt,Bundesliga,20.0,2004.0,26.6,57,2.14,48,0,2,5,1,5,0.19,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1453,Juanmi Latasa,ESP,FW,Valladolid,La Liga,23.0,2001.0,15.5,30,1.93,21,0,1,5,2,0,0.0,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1454,Toni Lato,ESP,DF,Mallorca,La Liga,26.0,1997.0,6.9,14,2.03,11,1,0,0,1,1,0.15,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1455,Roméo Lavia,BEL,MF,Chelsea,Premier League,20.0,2004.0,8.9,14,1.58,13,0,0,0,0,2,0.23,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1456,Valentino Lazaro,AUT,"DF,FW",Torino,Serie A,28.0,1996.0,25.6,52,2.03,32,16,1,3,0,8,0.31,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1457,Darko Lazović,SRB,"DF,MF",Hellas Verona,Serie A,33.0,1990.0,16.2,23,1.42,17,4,0,1,1,4,0.25,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1458,Manuel Lazzari,ITA,DF,Lazio,Serie A,30.0,1993.0,15.6,36,2.3,32,0,2,0,1,2,0.13,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1459,Julien Le Cardinal,FRA,DF,Brest,Ligue 1,26.0,1997.0,15.3,14,0.91,11,1,0,0,1,2,0.13,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1460,Jérémy Le Douaron,FRA,FW,Brest,Ligue 1,26.0,1998.0,1.1,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1461,Enzo Le Fée,FRA,MF,Roma,Serie A,24.0,2000.0,3.5,9,2.55,7,1,1,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1462,Robin Le Normand,ESP,DF,Atlético Madrid,La Liga,27.0,1996.0,23.9,7,0.29,4,0,0,3,0,1,0.04,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1463,Nicola Leali,ITA,GK,Genoa,Serie A,31.0,1993.0,29.0,2,0.07,2,0,0,0,0,1,0.03,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1464,Rafael Leão,POR,FW,Milan,Serie A,25.0,1999.0,25.8,113,4.38,78,1,16,11,6,16,0.62,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1465,Benjamin Lecomte,FRA,GK,Montpellier,Ligue 1,33.0,1991.0,30.0,10,0.34,10,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1466,Pierre Lees-Melou,FRA,MF,Brest,Ligue 1,31.0,1993.0,17.0,52,3.07,44,1,0,4,3,4,0.24,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1467,Jordan Lefort,FRA,DF,Angers,Ligue 1,30.0,1993.0,34.0,26,0.76,23,0,0,1,1,1,0.03,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1468,Diogo Leite,POR,DF,Union Berlin,Bundesliga,25.0,1999.0,28.3,33,1.17,25,2,1,1,4,3,0.11,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1469,Maxim Leitsch,GER,DF,Mainz 05,Bundesliga,26.0,1998.0,7.5,7,0.93,6,0,0,1,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1470,Florian Lejeune,FRA,DF,Rayo Vallecano,La Liga,33.0,1991.0,36.9,37,1.0,27,1,1,8,0,4,0.11,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1471,Stefan Lekovic,SRB,DF,Monza,Serie A,20.0,2004.0,4.1,6,1.47,4,0,1,0,1,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1472,Iñigo Lekue,ESP,DF,Athletic Club,La Liga,31.0,1993.0,8.6,16,1.86,11,3,0,1,0,1,0.12,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1473,Nunzio Lella,ITA,MF,Venezia,Serie A,24.0,2000.0,0.1,1,15.0,0,0,0,0,1,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1474,Thomas Lemar,FRA,MF,Atlético Madrid,La Liga,28.0,1995.0,0.9,4,4.24,3,1,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1475,Félix Lemaréchal,FRA,"MF,FW",Strasbourg,Ligue 1,20.0,2003.0,19.8,56,2.83,48,3,3,2,0,6,0.3,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1476,Mario Lemina,GAB,"MF,DF",Wolves,Premier League,30.0,1993.0,15.2,26,1.71,21,0,2,2,0,5,0.33,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1477,Clément Lenglet,FRA,DF,Atlético Madrid,La Liga,29.0,1995.0,21.9,17,0.78,16,0,1,0,0,2,0.09,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1478,Bernd Leno,GER,GK,Fulham,Premier League,32.0,1992.0,38.0,6,0.16,6,0,0,0,0,2,0.05,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1479,Donovan Léon,GUF,GK,Auxerre,Ligue 1,31.0,1992.0,32.0,12,0.37,9,3,0,0,0,2,0.06,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1480,Giovanni Leoni,ITA,DF,Parma,Serie A,17.0,2006.0,13.3,3,0.23,3,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1481,Esteban Lepaul,FRA,FW,Angers,Ligue 1,24.0,2000.0,18.1,22,1.22,11,0,2,7,2,1,0.06,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1482,Johann Lepenant,FRA,MF,Nantes,Ligue 1,21.0,2002.0,22.8,37,1.63,32,0,2,1,1,6,0.26,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1483,Jefferson Lerma,COL,"MF,DF",Crystal Palace,Premier League,29.0,1994.0,25.3,47,1.86,37,5,1,3,0,3,0.12,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1484,Louis Leroux,FRA,"MF,DF",Nantes,Ligue 1,18.0,2006.0,9.1,30,3.31,22,0,3,1,1,3,0.33,3,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1485,Robert Lewandowski,POL,FW,Barcelona,La Liga,35.0,1988.0,29.6,50,1.69,33,0,4,8,5,3,0.1,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1486,Jamie Leweling,GER,"MF,FW",Stuttgart,Bundesliga,23.0,2001.0,18.5,52,2.82,37,0,8,3,4,9,0.49,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1487,Rico Lewis,ENG,"DF,MF",Manchester City,Premier League,19.0,2004.0,21.0,31,1.47,30,0,0,0,1,3,0.14,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1488,Keane Lewis-Potter,ENG,"DF,FW",Brentford,Premier League,23.0,2001.0,34.4,71,2.07,56,0,5,3,6,8,0.23,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1489,Myles Lewis-Skelly,ENG,DF,Arsenal,Premier League,17.0,2006.0,15.2,29,1.91,21,0,1,1,6,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1490,Ben Lhassine Kone,CIV,MF,Como,Serie A,24.0,2000.0,0.6,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1491,Mattia Liberali,ITA,MF,Milan,Serie A,17.0,2007.0,0.7,1,1.48,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1492,Philipp Lienhart,AUT,DF,Freiburg,Bundesliga,28.0,1996.0,30.8,26,0.84,20,4,0,0,1,2,0.06,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1493,Matthijs de Ligt,NED,DF,Manchester Utd,Premier League,24.0,1999.0,23.6,14,0.59,12,0,0,2,0,1,0.04,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1494,Pedro Lima,BRA,DF,Wolves,Premier League,18.0,2006.0,0.8,4,5.14,2,0,0,0,0,0,0.0,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1495,Victor Lindelöf,SWE,DF,Manchester Utd,Premier League,30.0,1994.0,7.8,4,0.51,4,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1496,Jesper Lindstrøm,DEN,FW,Everton,Premier League,24.0,2000.0,13.8,46,3.35,30,7,2,3,3,1,0.07,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1497,Karol Linetty,POL,MF,Torino,Serie A,29.0,1995.0,17.1,24,1.4,20,0,2,1,0,2,0.12,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1498,Samuel Lino,BRA,"MF,DF",Atlético Madrid,La Liga,24.0,1999.0,17.2,49,2.84,39,0,3,4,3,6,0.35,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1499,Pol Lirola,ESP,DF,Marseille,Ligue 1,26.0,1997.0,7.6,16,2.12,13,2,0,1,0,2,0.26,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1500,Dailon Livramento,CPV,"FW,MF",Hellas Verona,Serie A,23.0,2001.0,10.4,19,1.82,12,0,4,1,1,4,0.38,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1501,Valentino Livramento,ENG,DF,Newcastle Utd,Premier League,21.0,2002.0,31.6,45,1.43,43,0,0,1,1,2,0.06,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1502,Marin Ljubicic,CRO,"FW,MF",Union Berlin,Bundesliga,22.0,2002.0,3.1,9,2.88,5,1,0,0,3,3,0.96,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1503,Javier Llabrés,ESP,FW,Mallorca,La Liga,21.0,2002.0,0.6,3,4.74,2,0,0,1,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1504,Diego Llorente,ESP,DF,Betis,La Liga,30.0,1993.0,28.0,15,0.54,12,0,0,1,1,2,0.07,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1505,Marcos Llorente,ESP,"DF,MF",Atlético Madrid,La Liga,29.0,1995.0,27.9,56,2.01,50,2,1,2,1,12,0.43,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1506,Gautier Lloris,FRA,DF,Le Havre,Ligue 1,29.0,1995.0,30.8,21,0.68,17,0,0,4,0,3,0.1,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1507,Giovani Lo Celso,ARG,"MF,FW",Betis,La Liga,28.0,1996.0,16.2,93,5.74,67,19,3,0,4,9,0.56,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1508,Stanislav Lobotka,SVK,MF,Napoli,Serie A,29.0,1994.0,29.3,54,1.84,47,4,0,2,0,6,0.2,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1509,Manuel Locatelli,ITA,MF,Juventus,Serie A,26.0,1998.0,31.4,98,3.13,85,5,1,3,2,8,0.26,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1510,Bradley Locko,FRA,DF,Brest,Ligue 1,22.0,2002.0,1.1,1,0.93,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1511,Ruben Loftus-Cheek,ENG,MF,Milan,Serie A,28.0,1996.0,11.5,34,2.95,27,0,3,1,3,2,0.17,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1512,Elysée Logbo,FRA,FW,Le Havre,Ligue 1,20.0,2004.0,0.3,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1513,Enzo Loiodice,FRA,MF,Las Palmas,La Liga,23.0,2000.0,7.6,13,1.71,7,4,1,0,1,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1514,Sean Longstaff,ENG,MF,Newcastle Utd,Premier League,26.0,1997.0,8.9,14,1.58,12,0,1,1,0,2,0.23,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1515,Ademola Lookman,NGA,"MF,FW",Atalanta,Serie A,26.0,1997.0,25.0,135,5.41,75,25,17,15,2,15,0.6,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1516,Anthony Lopes,POR,GK,Nantes,Ligue 1,33.0,1990.0,17.4,1,0.06,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1517,David López,ESP,DF,Mallorca,La Liga,21.0,2003.0,1.9,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1518,David López,ESP,DF,Girona,La Liga,34.0,1989.0,27.0,24,0.89,20,0,0,4,0,3,0.11,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1519,Diego López,ESP,"MF,FW",Valencia,La Liga,22.0,2002.0,30.4,69,2.27,60,1,3,2,3,9,0.3,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1520,Fer López,ESP,"FW,MF",Celta Vigo,La Liga,20.0,2004.0,7.5,30,4.02,23,0,3,2,1,3,0.4,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1521,Fermin López,ESP,"MF,FW",Barcelona,La Liga,21.0,2003.0,13.9,57,4.1,39,5,6,4,1,7,0.5,2,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1522,Javi López,ESP,DF,Real Sociedad,La Liga,22.0,2002.0,21.5,20,0.93,16,1,1,0,2,2,0.09,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1523,Pau López,ESP,GK,Girona,La Liga,29.0,1994.0,0.5,1,2.0,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1524,Roberto López,ESP,MF,Leganés,La Liga,24.0,2000.0,4.4,15,3.41,8,5,1,0,0,1,0.23,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
1525,Unai López,ESP,MF,Rayo Vallecano,La Liga,28.0,1995.0,19.0,53,2.79,43,5,2,1,1,2,0.11,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
