rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,avg_distance,free_kicks,penalty_goals,penalty_attempts,expected_goals,non_penalty_xg,npxg_per_shot,goals_minus_xg,non_penalty_goals_minus_xg,shot_creating_actions_shot,passes_free_kick,season,table_type,processed_at
11,Nabil Aberdin,FRA,MF,Getafe,La Liga,21.0,2002.0,2.9,0,0,0,0.0,0.68,0.0,0.0,0.0,31.2,0,0,0,0.0,0.0,0.02,0.0,0.0,2,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
12,Oliver Abildgaard,DEN,MF,Como,Serie A,28.0,1996.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
13,Matthis Abline,FRA,FW,Nantes,Ligue 1,21.0,2003.0,30.8,9,0,26,35.6,2.37,0.85,0.11,0.31,15.0,0,1,1,8.5,7.7,0.11,0.5,0.3,73,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
14,Abner,BRA,DF,Lyon,Ligue 1,24.0,2000.0,12.1,1,0,3,42.9,0.58,0.25,0.14,0.33,17.7,0,0,0,0.6,0.6,0.08,0.4,0.4,7,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
15,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,24.0,2000.0,21.1,7,0,26,41.9,2.94,1.23,0.1,0.23,14.6,0,1,2,10.2,8.6,0.14,-3.2,-2.6,62,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
16,Abdel Abqar,MAR,DF,Alavés,La Liga,25.0,1999.0,27.4,0,0,1,8.3,0.44,0.04,0.0,0.0,8.0,0,0,0,0.9,0.9,0.08,-0.9,-0.9,12,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
17,Tammy Abraham,ENG,FW,Roma,Serie A,26.0,1997.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
18,Tammy Abraham,ENG,FW,Milan,Serie A,26.0,1997.0,13.1,3,0,11,42.3,1.98,0.84,0.08,0.18,13.4,0,1,2,7.1,5.4,0.21,-4.1,-3.4,26,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
19,Federico Accornero,ITA,MF,Genoa,Serie A,20.0,2004.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
20,Francesco Acerbi,ITA,DF,Inter,Serie A,36.0,1988.0,19.0,0,0,1,20.0,0.26,0.05,0.0,0.0,11.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4,5,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
21,Joshua Acheampong,ENG,DF,Chelsea,Premier League,18.0,2006.0,1.9,0,0,0,0.0,1.06,0.0,0.0,0.0,8.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2,2,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
22,Akor Adams,NGA,FW,Sevilla,La Liga,24.0,2000.0,1.5,0,0,1,50.0,1.34,0.67,0.0,0.0,22.2,0,0,0,0.4,0.4,0.22,-0.4,-0.4,2,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
23,Akor Adams,NGA,FW,Montpellier,Ligue 1,24.0,2000.0,11.9,3,0,12,46.2,2.18,1.0,0.12,0.25,13.3,0,0,0,4.3,4.3,0.16,-1.3,-1.3,26,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
24,Che Adams,SCO,FW,Torino,Serie A,28.0,1996.0,29.5,9,0,25,39.7,2.14,0.85,0.14,0.36,15.7,0,0,1,9.0,8.2,0.13,0.0,0.8,63,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
