Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 37_level_0_Matches
51,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,30-281,1995,5,1,205,2.3,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,4,20,2,0.00,0.00,0.00,0.00,0.00,0.12,0.04,0.16,0.12,0.16,Matches
52,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,21-224,2004,7,2,165,1.8,0,0,0,0,0,0,0,0,0.6,0.6,0.7,1.2,7,6,14,0.00,0.00,0.00,0.00,0.00,0.32,0.36,0.68,0.32,0.68,Matches
53,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,it Serie A,21-001,2004,10,8,751,8.3,0,1,1,0,0,0,1,0,0.6,0.6,0.8,1.4,18,39,21,0.00,0.12,0.12,0.00,0.12,0.07,0.10,0.17,0.07,0.17,Matches
54,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,23-274,2002,12,11,935,10.4,3,2,5,3,0,0,2,0,3.4,3.4,2.2,5.6,37,57,76,0.29,0.19,0.48,0.29,0.48,0.33,0.21,0.54,0.33,0.54,Matches
55,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,24-002,2001,12,11,990,11.0,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,7,37,4,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
56,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,it Serie A,33-046,1992,9,6,494,5.5,0,0,0,0,0,0,4,0,0.3,0.3,0.1,0.4,4,10,3,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches
57,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,30-221,1995,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
58,David Alaba,at AUT,DF,Real Madrid,es La Liga,33-155,1992,3,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
59,Raúl Albiol,es ESP,DF,Pisa,it Serie A,40-083,1985,3,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
60,Carlos Alcaraz,ar ARG,"FW,MF",Everton,eng Premier League,22-361,2002,9,2,250,2.8,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,2,6,13,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.10,0.08,0.10,Matches
61,Omar Alderete,py PAR,DF,Sunderland,eng Premier League,28-335,1996,8,7,668,7.4,1,1,2,1,0,0,1,0,0.6,0.6,0.1,0.7,10,31,2,0.13,0.13,0.27,0.13,0.27,0.08,0.01,0.09,0.08,0.09,Matches
62,Alexandre Alemão,br BRA,FW,Rayo Vallecano,es La Liga,27-239,1998,10,6,534,5.9,1,0,1,1,0,0,0,0,1.6,1.6,0.1,1.7,0,6,26,0.17,0.00,0.17,0.17,0.17,0.28,0.02,0.29,0.28,0.29,Matches
63,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,27-325,1998,13,10,799,8.9,0,3,3,0,0,0,0,0,1.0,1.0,1.0,2.0,5,28,33,0.00,0.34,0.34,0.00,0.34,0.11,0.12,0.22,0.11,0.22,Matches
64,Trent Alexander-Arnold,eng ENG,DF,Real Madrid,es La Liga,27-050,1998,6,3,249,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.7,5,8,16,0.00,0.00,0.00,0.00,0.00,0.02,0.25,0.27,0.02,0.27,Matches
65,Alfon,es ESP,"FW,DF",Sevilla,es La Liga,26-206,1999,7,3,239,2.7,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.9,8,6,24,0.38,0.00,0.38,0.38,0.38,0.23,0.09,0.32,0.23,0.32,Matches
66,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,21-311,2004,6,5,376,4.2,2,2,4,2,0,0,0,0,0.6,0.6,1.1,1.7,16,18,33,0.48,0.48,0.96,0.48,0.96,0.15,0.25,0.41,0.15,0.41,Matches
67,Alisson,br BRA,GK,Liverpool,eng Premier League,33-055,1992,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
68,Jim Allevinah,ga GAB,"FW,DF",Angers,fr Ligue 1,30-272,1995,3,0,80,0.9,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,1,1,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29,Matches
69,Thiago Almada,ar ARG,"MF,FW",Atlético Madrid,es La Liga,24-214,2001,7,3,296,3.3,2,1,3,2,0,0,0,0,1.7,1.7,0.7,2.5,11,20,13,0.61,0.30,0.91,0.61,0.91,0.53,0.23,0.76,0.53,0.76,Matches
70,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,25-180,2000,7,3,323,3.6,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.8,9,31,13,0.00,0.00,0.00,0.00,0.00,0.03,0.18,0.22,0.03,0.22,Matches
71,Pontus Almqvist,se SWE,"DF,MF",Parma,it Serie A,26-139,1999,7,4,350,3.9,0,0,0,0,0,0,0,0,0.1,0.1,1.0,1.1,10,3,23,0.00,0.00,0.00,0.00,0.00,0.02,0.26,0.27,0.02,0.27,Matches
72,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-333,1990,10,9,803,8.9,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.6,27,60,11,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches
73,Adrià Altimira,es ESP,DF,Villarreal,es La Liga,24-243,2001,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
74,Sergi Altimira,es ESP,MF,Betis,es La Liga,24-093,2001,7,5,450,5.0,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,7,12,2,0.00,0.20,0.20,0.00,0.20,0.00,0.03,0.03,0.00,0.03,Matches
75,Carlos Álvarez,es ESP,"MF,FW",Levante,es La Liga,22-112,2003,13,10,850,9.4,2,1,3,2,0,0,2,0,1.0,1.0,2.3,3.4,22,52,25,0.21,0.11,0.32,0.21,0.32,0.11,0.25,0.36,0.11,0.36,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
76,Hugo Álvarez,es ESP,"FW,MF",Celta Vigo,es La Liga,22-147,2003,7,3,343,3.8,1,0,1,1,0,0,0,0,0.1,0.1,0.2,0.2,7,15,24,0.26,0.00,0.26,0.26,0.26,0.01,0.05,0.06,0.01,0.06,Matches
77,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,25-299,2000,13,13,996,11.1,7,2,9,5,2,3,2,0,6.1,3.7,3.6,7.3,29,51,69,0.63,0.18,0.81,0.45,0.63,0.55,0.32,0.87,0.34,0.66,Matches
78,Skelly Alvero,fr FRA,DF,Werder Bremen,de Bundesliga,23-206,2002,2,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
79,Giuseppe Ambrosino,it ITA,FW,Napoli,it Serie A,22-077,2003,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
80,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,22-118,2003,4,1,105,1.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,6,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
81,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,27-291,1998,13,13,1170,13.0,0,1,1,0,0,0,2,0,0.1,0.1,0.6,0.7,15,57,23,0.00,0.08,0.08,0.00,0.08,0.01,0.04,0.05,0.01,0.05,Matches
82,Mohamed Amine Sbai,fr FRA,FW,Angers,fr Ligue 1,25-021,2000,6,5,395,4.4,0,1,1,0,0,0,1,0,0.5,0.5,0.8,1.3,23,13,35,0.00,0.23,0.23,0.00,0.23,0.11,0.19,0.30,0.11,0.30,Matches
83,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,29-288,1996,12,9,786,8.7,2,0,2,2,0,0,4,0,0.8,0.8,0.7,1.5,17,33,65,0.23,0.00,0.23,0.23,0.23,0.09,0.08,0.17,0.09,0.17,Matches
