Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 21_level_0_Int,Unnamed: 22_level_0_Tkl+Int,Unnamed: 23_level_0_Clr,Unnamed: 24_level_0_Err,Unnamed: 25_level_0_Matches
116,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,22-235,2003,10.6,13,7,6,3,4,6,13,46.2,7,8,0,8,2,15,3,0,Matches
117,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,31-188,1994,11.0,12,9,8,4,0,6,15,40.0,9,12,9,3,14,26,40,1,Matches
118,Tolu Arokodare,ng NGA,FW,Wolves,eng Premier League,25-008,2000,3.1,3,1,1,2,0,1,2,50.0,1,0,0,0,1,4,13,0,Matches
119,Kervin Arriaga,hn HON,MF,Levante,es La Liga,27-330,1998,7.0,19,13,10,8,1,11,16,68.8,5,9,6,3,7,26,23,2,Matches
120,Arthur,br BRA,DF,Leverkusen,de Bundesliga,22-259,2003,4.5,10,6,7,2,1,3,5,60.0,2,4,1,3,2,12,10,0,Matches
121,Takuma Asano,jp JPN,FW,Mallorca,es La Liga,31-021,1994,3.4,3,2,1,1,1,1,3,33.3,2,1,0,1,1,4,1,0,Matches
122,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,22-291,2003,5.5,5,4,3,2,0,3,4,75.0,1,9,7,2,4,9,22,0,Matches
123,Fisnik Asllani,xk KVX,"FW,MF",Hoffenheim,de Bundesliga,23-115,2002,9.1,5,1,3,1,1,4,12,33.3,8,5,0,5,3,8,10,0,Matches
124,Kristjan Asllani,al ALB,MF,Torino,it Serie A,23-267,2002,8.8,15,9,8,4,3,9,18,50.0,9,2,0,2,10,25,6,2,Matches
125,Joel Asoro,se SWE,FW,Metz,fr Ligue 1,26-218,1999,1.8,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,Matches
