Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Unnamed: 11_level_0_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 27_level_0_Matches
62,Nicola Leali,it ITA,GK,Genoa,it Serie A,32-287,1993,13,13,1170,13.0,20,1.54,50,31,64.0,2,5,6,2,15.4,2,2,0,0,0.0,Matches
63,Bernd Leno,de GER,GK,Fulham,eng Premier League,33-272,1992,13,13,1170,13.0,17,1.31,51,35,70.6,5,2,6,3,23.1,3,2,0,1,0.0,Matches
64,Donovan Léon,gf GUF,GK,Auxerre,fr Ligue 1,33-028,1992,12,12,1034,11.5,16,1.39,55,40,72.7,2,3,7,3,25.0,2,1,1,0,50.0,Matches
65,Anthony Lopes,pt POR,GK,Nantes,fr Ligue 1,35-061,1990,13,13,1168,13.0,20,1.54,67,48,73.1,2,4,7,2,15.4,2,2,0,0,0.0,Matches
66,Pau López,es ESP,GK,Betis,es La Liga,30-353,1994,7,7,630,7.0,7,1.00,25,17,72.0,4,2,1,2,28.6,1,0,1,0,100.0,Matches
67,Mike Maignan,fr FRA,GK,Milan,it Serie A,30-151,1995,12,12,1045,11.6,9,0.78,41,30,82.9,7,4,1,5,41.7,4,2,2,0,50.0,Matches
68,Radosław Majecki,pl POL,GK,Brest,fr Ligue 1,26-015,1999,10,10,864,9.6,15,1.56,41,26,65.9,1,4,5,3,30.0,1,1,0,0,0.0,Matches
69,Pape Mamadou Sy,sn SEN,GK,Metz,fr Ligue 1,28-213,1997,1,1,76,0.8,4,4.74,8,4,50.0,,,1,,,,,,,,Matches
70,Giorgi Mamardashvili,ge GEO,GK,Liverpool,eng Premier League,25-063,2000,5,5,450,5.0,10,2.00,27,16,66.7,1,0,4,1,20.0,2,1,1,0,50.0,Matches
71,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,33-090,1992,11,11,990,11.0,8,0.73,34,25,76.5,7,2,2,4,36.4,1,0,1,0,100.0,Matches
72,Josep Martinez,es ESP,GK,Inter,it Serie A,27-188,1998,2,2,180,2.0,1,0.50,5,4,80.0,2,0,0,1,50.0,0,0,0,0,,Matches
73,Alex Meret,it ITA,GK,Napoli,it Serie A,28-254,1997,4,4,360,4.0,4,1.00,12,8,75.0,3,0,1,2,50.0,1,1,0,0,0.0,Matches
74,Vanja Milinković-Savić,rs SRB,GK,Napoli,it Serie A,28-284,1997,9,9,810,9.0,7,0.78,22,13,72.7,6,1,2,3,33.3,3,1,2,0,66.7,Matches
75,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,29-284,1996,13,13,1170,13.0,20,1.54,54,34,63.0,0,6,7,3,23.1,1,0,1,0,100.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
76,Arijanet Muric,xk KVX,GK,Sassuolo,it Serie A,27-024,1998,12,12,1080,12.0,14,1.17,61,48,80.3,5,2,5,4,33.3,2,2,0,0,0.0,Matches
77,Juan Musso,ar ARG,GK,Atlético Madrid,es La Liga,31-209,1994,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
78,Yvon Mvogo,ch SUI,GK,Lorient,fr Ligue 1,31-178,1994,11,11,990,11.0,20,1.82,39,21,59.0,2,5,4,0,0.0,5,4,0,1,0.0,Matches
79,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,39-249,1986,11,11,990,11.0,9,0.82,22,13,59.1,10,1,0,5,45.5,0,0,0,0,,Matches
80,Moritz Nicolas,de GER,GK,Gladbach,de Bundesliga,28-041,1997,12,12,1080,12.0,19,1.58,59,40,71.2,3,4,5,5,41.7,2,2,0,0,0.0,Matches
81,Obed Nkambadio,fr FRA,GK,Paris FC,fr Ligue 1,22-297,2003,11,11,990,11.0,20,1.82,43,22,58.1,2,3,6,1,9.1,4,2,1,1,33.3,Matches
82,Alexander Nübel,de GER,GK,Stuttgart,de Bundesliga,29-062,1996,12,12,1080,12.0,17,1.42,50,34,72.0,7,1,4,4,33.3,3,3,0,0,0.0,Matches
83,Ørjan Nyland,no NOR,GK,Sevilla,es La Liga,35-082,1990,4,4,360,4.0,7,1.75,16,9,62.5,1,1,2,1,25.0,1,1,0,0,0.0,Matches
84,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,32-328,1993,13,13,1170,13.0,11,0.85,35,24,71.4,8,4,1,5,38.5,1,1,0,0,0.0,Matches
85,Maduka Okoye,ng NGA,GK,Udinese,it Serie A,26-095,1999,7,7,630,7.0,11,1.57,28,16,71.4,3,1,3,2,28.6,4,3,1,0,25.0,Matches
86,Berke Özer,tr TUR,GK,Lille,fr Ligue 1,25-190,2000,12,12,1080,12.0,14,1.17,42,27,66.7,8,2,2,4,33.3,1,0,1,0,100.0,Matches
87,Alberto Paleari,it ITA,GK,Torino,it Serie A,33-094,1992,5,5,450,5.0,8,1.60,20,12,65.0,1,3,1,2,40.0,1,1,0,0,0.0,Matches
88,Iñaki Peña,es ESP,GK,Elche,es La Liga,26-274,1999,8,8,720,8.0,11,1.37,36,25,72.2,1,3,4,2,25.0,1,1,0,0,0.0,Matches
89,Mike Penders,be BEL,GK,Strasbourg,fr Ligue 1,20-123,2005,13,13,1170,13.0,19,1.46,53,34,67.9,6,1,6,5,38.5,3,2,1,0,33.3,Matches
90,Mattia Perin,it ITA,GK,Juventus,it Serie A,33-021,1992,2,2,180,2.0,2,1.00,6,4,66.7,1,0,1,0,0.0,0,0,0,0,,Matches
91,Lucas Perri,br BRA,GK,Leeds United,eng Premier League,27-356,1997,8,8,720,8.0,17,2.12,36,19,58.3,2,1,5,2,25.0,2,2,0,0,0.0,Matches
92,Massimo Pessina,it ITA,GK,Bologna,it Serie A,17-341,2007,1,0,83,0.9,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,,Matches
