Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 34_level_0_Matches
63,Bernd Leno,de GER,GK,Fulham,eng Premier League,33-267,1992,12.0,16,2,0,3,1,14.0,0.27,-1.0,-0.08,35,140,25.0,424,64,24.5,29.6,61,59.0,46.9,148,10,6.8,9,0.75,12.6,Matches
64,Donovan Léon,gf GUF,GK,Auxerre,fr Ligue 1,33-023,1992,10.5,15,0,0,4,2,16.5,0.31,+3.5,+0.33,56,195,28.7,282,39,53.2,42.0,58,77.6,58.4,116,4,3.4,14,1.33,15.8,Matches
65,Anthony Lopes,pt POR,GK,Nantes,fr Ligue 1,35-056,1990,12.0,17,2,0,2,1,16.8,0.26,+0.8,+0.07,52,141,36.9,436,58,29.4,31.8,42,31.0,34.2,196,9,4.6,16,1.34,13.7,Matches
66,Pau López,es ESP,GK,Betis,es La Liga,30-348,1994,7.0,7,0,0,1,0,7.3,0.26,+0.3,+0.04,26,74,35.1,169,24,27.2,32.7,49,57.1,47.1,101,3,3.0,5,0.71,16.5,Matches
67,Mike Maignan,fr FRA,GK,Milan,it Serie A,30-146,1995,10.6,9,2,0,2,0,13.0,0.29,+4.0,+0.37,28,116,24.1,356,51,25.3,32.2,46,56.5,47.5,197,17,8.6,7,0.66,11.6,Matches
68,Radosław Majecki,pl POL,GK,Brest,fr Ligue 1,26-010,1999,9.6,15,1,1,2,0,11.9,0.28,-3.1,-0.32,69,147,46.9,279,42,38.4,36.0,61,65.6,51.4,146,9,6.2,5,0.52,10.1,Matches
69,Pape Mamadou Sy,sn SEN,GK,Metz,fr Ligue 1,28-208,1997,0.8,4,,,,,2.8,0.36,,,6,19,31.6,21,2,57.1,41.4,8,87.5,55.9,10,1,10.0,1,1.18,16.8,Matches
70,Giorgi Mamardashvili,ge GEO,GK,Liverpool,eng Premier League,25-058,2000,5.0,10,1,0,2,0,7.6,0.22,-2.4,-0.48,19,59,32.2,176,32,27.8,30.6,25,40.0,34.8,60,2,3.3,9,1.80,16.8,Matches
71,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,33-085,1992,10.0,8,0,0,3,0,8.2,0.26,+0.2,+0.02,45,129,34.9,381,45,27.6,30.8,34,70.6,54.7,147,13,8.8,8,0.80,12.4,Matches
72,Josep Martinez,es ESP,GK,Inter,it Serie A,27-183,1998,2.0,1,0,0,0,0,1.4,0.28,+0.4,+0.21,6,21,28.6,61,7,24.6,27.4,9,66.7,48.2,21,0,0.0,4,2.00,19.0,Matches
73,Alex Meret,it ITA,GK,Napoli,it Serie A,28-249,1997,4.0,4,1,0,0,0,3.9,0.25,-0.1,-0.03,5,14,35.7,85,12,15.3,25.7,24,4.2,23.4,19,1,5.3,6,1.50,19.4,Matches
74,Vanja Milinković-Savić,rs SRB,GK,Napoli,it Serie A,28-279,1997,8.0,7,1,0,1,0,7.5,0.27,+0.5,+0.07,44,133,33.1,270,21,36.7,35.1,61,55.7,48.4,103,5,4.9,9,1.13,17.0,Matches
75,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,29-279,1996,12.0,18,0,0,2,1,13.3,0.25,-3.7,-0.31,80,243,32.9,269,41,61.0,43.8,89,88.8,60.2,163,11,6.7,7,0.58,12.5,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
76,Arijanet Muric,xk KVX,GK,Sassuolo,it Serie A,27-019,1998,11.0,12,2,0,2,1,14.8,0.28,+3.8,+0.34,65,188,34.6,329,52,41.3,35.3,71,73.2,53.7,161,21,13.0,5,0.45,11.1,Matches
77,Juan Musso,ar ARG,GK,Atlético Madrid,es La Liga,31-204,1994,1.0,0,0,0,0,0,0.0,0.02,0.0,+0.02,3,4,75.0,23,5,8.7,23.7,8,25.0,32.5,22,2,9.1,0,0.00,7.5,Matches
78,Yvon Mvogo,ch SUI,GK,Lorient,fr Ligue 1,31-173,1994,10.0,19,4,0,5,1,14.4,0.31,-3.6,-0.36,31,99,31.3,324,31,23.8,30.1,32,68.8,50.3,145,10,6.9,6,0.60,13.1,Matches
79,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,39-244,1986,10.0,8,0,1,3,0,6.5,0.31,-1.5,-0.15,42,107,39.3,375,48,25.6,30.3,41,26.8,31.7,108,4,3.7,28,2.80,20.3,Matches
80,Moritz Nicolas,de GER,GK,Gladbach,de Bundesliga,28-036,1997,11.0,19,2,0,4,0,18.1,0.30,-0.9,-0.08,61,124,49.2,304,44,31.6,30.6,41,68.3,51.1,171,7,4.1,14,1.27,14.6,Matches
81,Obed Nkambadio,fr FRA,GK,Paris FC,fr Ligue 1,22-292,2003,10.0,19,2,0,4,0,14.6,0.31,-4.4,-0.44,29,109,26.6,365,46,25.5,29.4,64,25.0,28.9,133,4,3.0,11,1.10,13.5,Matches
82,Alexander Nübel,de GER,GK,Stuttgart,de Bundesliga,29-057,1996,11.0,15,3,0,0,1,15.4,0.28,+1.4,+0.13,62,136,45.6,384,54,29.4,31.8,44,52.3,43.2,156,11,7.1,22,2.00,16.0,Matches
83,Ørjan Nyland,no NOR,GK,Sevilla,es La Liga,35-077,1990,4.0,7,1,1,1,0,6.3,0.34,-0.7,-0.17,14,48,29.2,114,13,31.6,35.4,16,75.0,56.1,52,0,0.0,5,1.25,17.6,Matches
84,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,32-323,1993,12.0,11,1,0,1,0,9.9,0.28,-1.1,-0.09,68,155,43.9,316,39,32.0,32.9,84,64.3,45.8,145,7,4.8,12,1.00,13.8,Matches
85,Maduka Okoye,ng NGA,GK,Udinese,it Serie A,26-090,1999,6.0,11,3,1,2,0,10.4,0.29,-0.6,-0.10,47,112,42.0,204,12,43.6,36.1,28,82.1,56.0,84,4,4.8,10,1.67,14.3,Matches
86,Berke Özer,tr TUR,GK,Lille,fr Ligue 1,25-185,2000,11.0,14,0,1,1,0,16.5,0.45,+2.5,+0.22,42,104,40.4,366,29,24.9,28.5,40,32.5,33.6,132,6,4.5,13,1.18,15.2,Matches
