Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
131,Ezequiel Ávila,ar ARG,"FW,MF",Betis,es La Liga,31-251,1994,0.5,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
132,Arthur Avom,cm CMR,MF,Lorient,fr Ligue 1,20-304,2004,6.1,11,8,4,7,0,10,70.0,3,7,1,6,12,23,4,0,Matches
133,Chidozie Awaziem,ng NGA,DF,Nantes,fr Ligue 1,28-287,1997,7.0,5,2,3,2,0,8,37.5,5,10,6,4,6,11,41,2,Matches
134,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,22-009,2003,6.0,15,9,4,7,4,10,50.0,5,4,0,4,8,23,8,0,Matches
135,Neil El Aynaoui,ma MAR,MF,Roma,it Serie A,24-105,2001,1.1,0,0,0,0,0,0,,0,0,0,0,3,3,0,0,Matches
136,César Azpilicueta,es ESP,DF,Sevilla,es La Liga,36-048,1989,5.0,10,6,7,3,0,10,40.0,6,11,5,6,11,21,17,0,Matches
137,Oussama El Azzouzi,ma MAR,DF,Auxerre,fr Ligue 1,24-139,2001,0.2,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
138,Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,21-182,2004,4.0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,Matches
139,Loïc Bade,fr FRA,DF,Leverkusen,de Bundesliga,25-187,2000,3.9,4,3,2,1,1,3,100.0,0,3,1,2,4,8,17,0,Matches
140,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,24-203,2001,0.7,1,0,0,1,0,0,,0,1,1,0,2,3,2,0,Matches
141,Alex Baena,es ESP,MF,Atlético Madrid,es La Liga,24-087,2001,0.9,1,1,1,0,0,1,100.0,0,0,0,0,0,1,1,0,Matches
142,Samson Baidoo,at AUT,DF,Lens,fr Ligue 1,21-198,2004,5.5,6,5,5,0,1,7,42.9,4,14,12,2,7,13,23,0,Matches
143,Eric Bailly,ci CIV,DF,Oviedo,es La Liga,31-186,1994,2.0,1,1,0,1,0,1,100.0,0,7,7,0,4,5,14,0,Matches
144,Theo Bair,ca CAN,"MF,FW",Auxerre,fr Ligue 1,26-049,1999,0.1,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
145,Cédric Bakambu,cd COD,FW,Betis,es La Liga,34-187,1991,0.6,0,0,0,0,0,0,,0,1,0,1,1,1,4,0,Matches
146,Johan Bakayoko,be BEL,FW,RB Leipzig,de Bundesliga,22-178,2003,5.1,4,2,2,2,0,5,20.0,4,2,0,2,1,5,2,0,Matches
147,Darryl Bakola,fr FRA,MF,Marseille,fr Ligue 1,17-319,2007,0.1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
148,Ridle Baku,de GER,DF,RB Leipzig,de Bundesliga,27-190,1998,5.9,17,9,12,3,2,22,59.1,9,12,2,10,7,24,22,1,Matches
149,Dilane Bakwa,fr FRA,"FW,MF",Nott'ham Forest,eng Premier League,23-050,2002,1.9,0,0,0,0,0,2,0.0,2,2,1,1,0,0,2,0,Matches
150,Dilane Bakwa,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,23-050,2002,1.2,1,1,1,0,0,2,50.0,1,2,0,2,1,2,1,0,Matches
151,Tommaso Baldanzi,it ITA,"MF,FW",Roma,it Serie A,22-206,2003,1.3,1,0,0,0,1,1,0.0,1,0,0,0,2,3,0,0,Matches
152,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,21-362,2003,2.9,4,3,1,3,0,4,50.0,2,6,3,3,0,4,6,0,Matches
153,Fabio Baldé,pt POR,"FW,MF",Hamburger SV,de Bundesliga,20-087,2005,0.6,2,1,0,1,1,1,0.0,1,1,0,1,0,2,1,0,Matches
154,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,21-285,2004,3.9,7,4,1,5,1,6,33.3,4,3,0,3,8,15,6,0,Matches
